time,PM1(ug/m3),PM10(ug/m3),PM2.5(ug/m3),RH(%),T(C)
2020-02-24 14:07:09.337999870,1.641,1.935,1.924,40.0,15.8
2020-02-24 14:07:10.713999870,1.774,38.971,2.739,40.0,15.8
2020-02-24 14:07:12.086000130,2.1830000000000003,3.715,3.551,40.0,15.8
2020-02-24 14:07:13.462000130,1.705,2.678,2.585,40.0,15.8
2020-02-24 14:08:07.940999940,2.299,3.775,3.609,40.1,15.8
2020-02-24 14:08:09.318000130,1.889,2.2230000000000003,2.212,40.1,15.8
2020-02-24 14:08:10.694000130,2.285,4.506,3.931,40.0,15.8
2020-02-24 14:08:12.070000130,2.443,16.496,8.716000000000001,40.0,15.8
2020-02-24 14:09:06.553999870,3.039,3.549,3.535,40.2,15.8
2020-02-24 14:09:07.928999940,1.672,6.43,3.775,40.1,15.8
2020-02-24 14:09:09.305999870,1.661,1.998,1.986,40.1,15.8
2020-02-24 14:09:10.681999870,2.048,8.161,6.307,40.1,15.8
2020-02-24 14:10:05.161999870,2.101,25.258000000000003,3.809,40.0,15.8
2020-02-24 14:10:06.537999870,2.006,8.354,5.519,40.0,15.900000000000002
2020-02-24 14:10:07.913999870,2.194,25.96,5.152,39.9,15.8
2020-02-24 14:10:09.286000130,1.381,1.406,1.406,39.8,15.8
2020-02-24 14:11:09.283000060,2.189,18.378,8.072000000000001,40.1,15.900000000000002
2020-02-24 14:11:10.659000060,1.655,6.273,3.864,40.1,15.900000000000002
2020-02-24 14:11:12.033999870,1.869,3.811,3.258,40.0,15.900000000000002
2020-02-24 14:11:13.407000060,1.791,4.382,3.752,40.0,15.8
2020-02-24 14:12:07.881999870,2.25,7.596,5.086,39.9,15.900000000000002
2020-02-24 14:12:09.255000060,1.984,2.25,2.248,39.9,15.900000000000002
2020-02-24 14:12:10.631000060,2.074,4.959,4.314,39.9,15.900000000000002
2020-02-24 14:12:12.007000060,1.834,4.062,3.507,39.8,15.900000000000002
2020-02-24 14:13:06.483000060,1.82,12.702,4.589,39.6,15.900000000000002
2020-02-24 14:13:07.859000060,1.494,107.548,1.5659999999999998,39.5,15.900000000000002
2020-02-24 14:13:09.233999870,1.734,1.869,1.868,39.4,15.900000000000002
2020-02-24 14:13:10.612999940,2.105,114.477,3.606,39.3,15.900000000000002
2020-02-24 14:14:05.078000130,2.01,26.218000000000004,5.544,39.9,16.0
2020-02-24 14:14:06.454000130,1.704,4.362,3.693,39.9,15.900000000000002
2020-02-24 14:14:07.830000130,2.016,2.81,2.7230000000000003,39.9,15.900000000000002
2020-02-24 14:14:09.207000060,2.275,4.1160000000000005,3.934,39.9,15.900000000000002
2020-02-24 14:18:44.460999940,2.224,5.154,4.4910000000000005,40.0,14.3
2020-02-24 14:18:45.836000000,2.455,28.249,6.151,40.0,14.3
2020-02-24 14:18:47.212999940,2.628,6.147,5.475,39.9,14.3
2020-02-24 14:18:48.590000130,1.84,22.422,3.389,39.9,14.3
2020-02-24 14:19:48.544000000,2.076,2.468,2.457,40.0,16.0
2020-02-24 14:19:49.919000060,2.046,2.833,2.7460000000000004,39.9,16.0
2020-02-24 14:19:51.295000060,2.369,8.847999999999999,5.831,39.9,16.0
2020-02-24 14:19:52.670000130,1.839,1.925,1.925,39.9,16.0
2020-02-24 14:20:47.123000060,1.639,70.35300000000001,3.363,39.8,16.0
2020-02-24 14:20:48.495000060,1.909,2.035,2.0340000000000003,39.9,16.0
2020-02-24 14:20:49.875000060,1.798,11.76,4.07,39.8,16.0
2020-02-24 14:20:51.251000060,1.679,2.471,2.387,39.8,16.0
2020-02-24 14:21:45.724999940,2.0580000000000003,2.492,2.481,39.9,16.0
2020-02-24 14:21:47.104999940,1.948,3.905,3.3480000000000003,39.9,16.0
2020-02-24 14:21:48.480999940,1.44,2.147,2.064,39.8,16.0
2020-02-24 14:21:49.852999940,1.897,2.657,2.573,39.9,16.0
2020-02-24 14:44:03.095000060,4.439,15.66,13.242,41.1,14.1
2020-02-24 14:44:04.480000000,4.8580000000000005,18.089,15.024,40.9,14.1
2020-02-24 14:44:05.860000000,3.136,15.052,10.662,40.8,14.1
2020-02-24 14:44:07.240999940,4.169,10.777,9.66,40.6,14.1
2020-02-24 14:45:07.230000130,6.425,19.711,17.477,40.2,16.1
2020-02-24 14:45:08.612999940,6.242000000000001,22.823,17.959,40.1,16.1
2020-02-24 14:45:09.996999940,5.249,19.858,15.159,40.1,16.0
2020-02-24 14:45:11.380999940,5.367000000000001,22.951,17.689,40.1,16.1
2020-02-24 14:46:05.811000060,5.349,36.391,12.932,39.9,16.2
2020-02-24 14:46:07.192000000,5.656000000000001,21.668000000000003,16.768,39.8,16.2
2020-02-24 14:46:08.576000000,5.816,66.296,18.719,39.8,16.3
2020-02-24 14:46:09.960000000,5.803999999999999,19.39,15.345999999999998,39.8,16.3
2020-02-24 14:47:04.419000060,9.426,39.135,31.665,39.4,16.400000000000002
2020-02-24 14:47:05.807000060,9.08,28.8,25.119,39.3,16.5
2020-02-24 14:47:07.191000060,8.28,41.20399999999999,27.775,39.3,16.5
2020-02-24 14:47:08.576000000,7.932,165.579,20.426,39.2,16.5
2020-02-24 14:48:03.016999940,7.101,15.264,14.48,39.3,16.7
2020-02-24 14:48:04.401999870,6.763999999999999,17.472,16.053,39.2,16.7
2020-02-24 14:48:05.785999870,6.132000000000001,22.833,19.37,39.1,16.7
2020-02-24 14:48:07.169999870,7.937,23.075,20.66,39.0,16.7
2020-02-24 14:49:07.153999870,5.686,17.315,13.823,38.4,16.8
2020-02-24 14:49:08.534000130,6.755,27.651,21.722,38.3,16.900000000000002
2020-02-24 14:49:09.918000130,5.72,20.238,15.86,38.2,16.8
2020-02-24 14:49:11.299000060,6.814,16.625,15.313,38.2,16.900000000000002
2020-02-24 14:50:05.755000060,8.087,52.98,25.569000000000003,38.1,17.0
2020-02-24 14:50:07.139000060,8.372,48.977,23.073,38.0,17.0
2020-02-24 14:50:08.524000000,7.605,19.792,17.682000000000002,38.0,17.0
2020-02-24 14:50:09.908000000,7.449,27.809,22.011,38.0,17.0
2020-02-24 14:51:04.364999940,9.067,38.573,26.202,37.8,17.2
2020-02-24 14:51:05.750000130,8.225,51.003,32.128,37.7,17.2
2020-02-24 14:51:07.137999870,10.889,37.731,31.191,37.7,17.2
2020-02-24 14:51:08.527000060,10.28,35.174,30.976,37.6,17.2
2020-02-24 14:52:02.959000060,9.465,43.024,29.327,37.7,17.3
2020-02-24 14:52:04.348000000,11.17,31.337,28.483,37.6,17.3
2020-02-24 14:52:05.736000000,10.187,37.101,30.078000000000003,37.5,17.400000000000002
2020-02-24 14:52:07.120999940,6.4110000000000005,16.56,15.23,37.4,17.3
2020-02-24 14:53:07.100000000,9.4,31.07,27.16,37.1,17.5
2020-02-24 14:53:08.484999940,8.567,74.235,24.191,37.1,17.5
2020-02-24 14:53:09.872999940,8.978,47.099,33.228,37.0,17.5
2020-02-24 14:53:11.257999870,6.672000000000001,20.335,18.451,37.0,17.6
2020-02-24 14:54:05.700000000,7.855,50.526,25.827,36.9,17.7
2020-02-24 14:54:07.088000000,8.283999999999999,31.76,26.679,36.8,17.7
